Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
233 /pagelist,600,67916,420,141623,50062.47,51.500%,4.20483,500.08,2.08,121784.2
257 /createpage,300,21680,5186,131102,23359.90,6.667%,2.10868,77.26,1.31,37518.2
281 /savepage,600,41921,6351,99881,20271.33,7.000%,3.03377,1299.43,8.87,438601.8
307 /pagerank,300,15930,4340,70248,7443.72,0.000%,1.86982,130.00,1.75,71192.3
331 /mongorank,300,14422,4529,28766,5631.50,0.000%,1.81034,373.73,1.72,211396.7
TOTAL,2100,38815,420,141623,37018.56,17.667%,10.05632,2021.48,13.43,205839.9
