Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
233 /pagelist,200,5353,190,10590,3219.73,0.000%,16.63617,992.48,14.06,61089.8
257 /createpage,100,5169,1575,6325,1029.16,0.000%,8.70853,346.62,8.30,40757.8
281 /savepage,200,23170,10765,35203,9301.10,0.000%,4.44168,737.20,13.51,169957.3
307 /pagerank,100,9277,6847,11632,1380.80,0.000%,4.08013,225.89,3.88,56691.5
331 /mongorank,100,8886,6900,10924,970.85,0.000%,3.75319,277.79,3.58,75792.0
TOTAL,700,11482,190,35203,9238.71,0.000%,14.84435,1315.73,22.54,90762.2
