Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
233 /pagelist,600,28480,190,102400,34003.97,1.833%,.53325,56.78,0.44,109041.1
257 /createpage,300,11839,1575,96921,13236.14,0.333%,.26675,10.58,0.25,40607.6
281 /savepage,600,30297,10164,79690,15114.89,0.333%,.51836,125.06,1.57,247044.5
307 /pagerank,300,11930,3678,53592,4760.54,0.000%,.26329,16.02,0.25,62318.4
331 /mongorank,300,11326,3775,21754,4110.50,0.000%,.26336,28.62,0.25,111271.7
TOTAL,2100,21807,190,102400,22437.84,0.667%,1.81092,234.04,2.74,132338.4
