Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
1111 /login,100,1844,13,3961,1353.35,0.000%,19.53125,656.45,7.15,34417.0
1125 /login,200,12691,1270,19803,5022.30,0.000%,9.53743,1709.15,30.73,183505.1
1127 /home,100,4068,3198,5492,567.07,0.000%,6.04741,267.36,5.72,45270.9
1144 /books,100,3506,2941,5490,415.31,0.000%,6.34397,1038.32,6.00,167598.4
1162 /books,200,7085,6112,7826,464.57,0.000%,11.20009,6710.11,25.05,613490.4
TOTAL,700,6996,13,19803,4860.77,0.000%,24.51667,6297.71,46.13,263039.6
