Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
1111 /login,300,34390,201,118550,30862.78,0.000%,2.50987,84.36,0.92,34417.2
1125 /login,600,37273,76,135921,31497.12,0.333%,4.41151,1865.87,14.20,433106.7
1127 /home,300,3871,9,11996,1488.42,0.000%,2.33392,103.28,2.20,45313.2
1144 /books,300,4373,38,25050,2806.27,0.000%,2.53625,1652.32,2.40,667117.3
1162 /books,600,15431,85,26609,5778.76,0.000%,5.26838,6661.68,11.78,1294812.3
TOTAL,2100,21149,9,135921,24940.44,0.095%,15.42824,9045.77,29.01,600383.7
