Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
1111 /login,300,35558,13,99938,30686.61,0.000%,2.97056,99.84,1.09,34418.2
1125 /login,600,35736,2444,111959,32414.21,0.000%,5.31557,2303.76,17.12,443800.1
1127 /home,300,4601,814,14829,2058.63,0.000%,2.79267,123.46,2.64,45267.9
1144 /books,300,4833,210,36117,2870.50,0.000%,3.14067,2110.69,2.97,688179.6
1162 /books,600,10422,160,20943,2938.37,0.000%,6.50660,8171.25,14.55,1285978.9
TOTAL,2100,19615,13,111959,25240.65,0.000%,18.57454,10954.58,34.95,603917.6
