Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
1111 /login,200,18121,36,67295,26440.26,0.000%,2.91984,98.14,1.07,34417.3
1125 /login,400,26375,384,74397,20159.11,0.000%,5.29003,1711.83,17.04,331361.8
1127 /home,200,5033,49,67211,7091.63,0.000%,2.75406,121.75,2.60,45269.8
1144 /books,200,3777,210,22201,2599.18,0.000%,3.09957,1402.38,2.93,463302.4
1162 /books,400,8435,177,17455,4702.62,0.000%,6.74252,6002.50,15.08,911611.2
TOTAL,1400,13793,36,74397,17659.36,0.000%,17.80400,7523.32,33.50,432705.1
