Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
1111 /login,200,19200,12,65256,25382.01,0.000%,3.01196,101.24,1.10,34417.9
1125 /login,400,23838,209,71106,19127.38,0.000%,5.53426,1765.86,17.83,326736.0
1127 /home,200,3888,718,11244,2394.39,0.000%,2.83094,125.15,2.67,45270.0
1144 /books,200,3412,1100,9149,1539.69,0.000%,2.81948,1250.15,2.66,454039.1
1162 /books,400,11084,3292,19229,5529.61,0.000%,5.66324,5098.24,12.66,921839.3
TOTAL,1400,13763,12,71106,16461.14,0.000%,18.33997,7754.77,34.51,432982.5
