Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
1111 /login,100,2018,407,3457,917.90,0.000%,21.91541,736.61,8.03,34418.3
1125 /login,200,14431,5920,20341,4106.89,0.000%,9.29800,1420.53,29.95,156444.3
1127 /home,100,2591,1096,7144,1329.88,0.000%,8.88021,392.57,8.38,45268.3
1144 /books,100,3138,1458,4956,924.43,0.000%,12.45640,1380.27,11.76,113467.8
1162 /books,200,9575,7171,10402,680.62,0.000%,13.00390,8473.74,29.08,667269.8
TOTAL,700,7966,407,20341,5535.39,0.000%,22.55373,5791.29,42.43,262940.4
