Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
374 /,400,35016,47,131045,56390.79,26.000%,3.03469,91.21,0.87,30778.7
405 /pagerank,400,15336,60,138110,32364.21,7.000%,2.84053,388.19,4.77,139939.4
429 /pagelist,200,4692,352,129871,9041.76,0.500%,1.43487,171.80,1.36,122603.7
453 /createpage,200,5306,263,129756,8978.60,0.500%,1.43206,56.73,1.36,40562.3
477 /savepage,400,10780,499,87136,6467.66,0.500%,2.73347,483.26,5.70,181034.7
827 /login,400,6006,127,72317,5202.27,0.000%,2.91095,102.12,2.74,35921.7
841 /login,400,10798,343,74793,5668.05,0.000%,2.82847,165.36,5.92,59867.0
758 /books,400,6886,1323,9980,1886.84,0.000%,2.96406,3048.97,2.68,1053333.8
776 /books,400,17039,604,24483,4700.02,0.000%,2.74688,4041.35,6.12,1506562.5
863 /,400,13145,66,24599,6171.03,0.000%,2.86841,320.71,4.05,114491.6
893 /mongorank,200,7280,165,14906,3399.63,0.000%,1.54291,201.04,1.46,133429.3
917 /,400,81,58,468,51.83,0.000%,3.29573,2.54,1.41,788.0
TOTAL,4200,11783,47,138110,22495.47,3.238%,22.04632,6707.02,28.30,311525.2
