Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
374 /,200,819,90,1578,446.68,0.000%,76.92308,3067.65,29.75,40836.5
405 /pagerank,200,3945,308,7868,2685.31,0.000%,19.27154,1550.53,36.53,82388.2
429 /pagelist,100,2275,529,3062,642.27,0.000%,13.02592,553.18,12.39,43486.8
453 /createpage,100,2623,1411,3032,375.78,0.000%,10.48108,417.15,9.99,40755.7
477 /savepage,200,6855,5177,8361,983.74,0.000%,12.13666,1146.50,25.37,96732.9
827 /login,200,3818,2395,4741,572.13,0.000%,13.65374,478.98,12.85,35922.3
841 /login,200,7836,7340,8393,330.64,0.000%,10.23541,598.36,21.43,59862.9
758 /books,200,3219,2503,4755,626.24,0.000%,13.37077,2381.26,12.11,182368.9
776 /books,200,8609,6007,11510,1834.43,0.000%,8.73096,5081.30,19.45,595954.4
863 /,200,7034,2844,11430,2435.08,0.000%,9.37427,806.91,13.24,88143.4
893 /mongorank,100,3801,2690,6887,1186.01,0.000%,5.51846,435.07,5.21,80730.3
917 /,200,76,57,1077,101.07,0.000%,14.04199,10.81,6.02,788.0
TOTAL,2100,4434,57,11510,3077.47,0.000%,41.25899,4856.08,54.25,120522.3
