374 /,400,35016,1628,130892,130952,131037,47,131045,26.000%,3.03469,91.21,0.87
405 /pagerank,400,15336,6829,14345,130772,137569,60,138110,7.000%,2.84053,388.19,4.77
429 /pagelist,200,4692,3891,6694,6983,7296,352,129871,0.500%,1.43487,171.80,1.36
453 /createpage,200,5306,4706,6807,7048,7235,263,129756,0.500%,1.43206,56.73,1.36
477 /savepage,400,10780,11189,14873,15374,20137,499,87136,0.500%,2.73347,483.26,5.70
827 /login,400,6006,5356,8507,8695,11913,127,72317,0.000%,2.91095,102.12,2.74
841 /login,400,10798,11927,13432,13974,16262,343,74793,0.000%,2.82847,165.36,5.92
758 /books,400,6886,6974,9266,9639,9828,1323,9980,0.000%,2.96406,3048.97,2.68
776 /books,400,17039,16755,22796,23267,23501,604,24483,0.000%,2.74688,4041.35,6.12
863 /,400,13145,12294,22545,23530,24507,66,24599,0.000%,2.86841,320.71,4.05
893 /mongorank,200,7280,7947,12446,13637,14728,165,14906,0.000%,1.54291,201.04,1.46
917 /,400,81,63,120,175,340,58,468,0.000%,3.29573,2.54,1.41
TOTAL,4200,11783,7045,18326,23067,130939,47,138110,3.238%,22.04632,6707.02,28.30
