913 /,400,53334,19038,176520,177434,179085,98,182933,28.500%,2.17595,581.48,3.44
941 /viewbook,200,15624,4821,38848,39064,129570,536,138495,3.000%,1.17209,243.61,0.90
965 /pagelist,200,11408,6687,9145,34387,107369,2606,130847,3.500%,1.11992,253.47,1.03
989 /createpage,200,9252,6115,8882,9994,107356,2146,107358,1.500%,1.10774,43.47,1.04
1013 /savepage,400,31624,31296,54199,55084,92519,7424,163228,2.000%,1.92864,926.95,7.70
1039 /thepages/5c1674cb67556a1a2d745311,200,10038,10061,11821,12037,12583,2889,129515,0.500%,1.09784,42.94,1.07
1063 /pagerank,200,9138,8980,11438,11760,12188,3257,129456,0.500%,1.11841,126.19,1.09
1087 /mongorank,200,7878,8886,10455,11410,11855,2679,11996,0.000%,1.17074,228.36,1.12
1111 /login,200,7167,7737,10364,10985,11818,2319,12046,0.000%,1.21054,42.49,1.15
1125 /login,400,19149,14957,32774,33425,45453,6037,46066,0.000%,2.33522,2817.97,7.09
1127 /home,200,5950,5265,9161,10398,23958,2066,23992,0.000%,1.32220,58.45,1.25
1144 /books,200,8104,8235,12840,13183,13777,2630,13963,0.000%,1.37675,3100.86,1.30
1162 /books,400,16735,18736,23412,25236,67024,6087,72527,0.000%,2.65430,7112.82,5.94
1241 /thepages/5c1674b467556a1a2d745310,200,9007,10185,13035,13179,13344,2307,13613,0.000%,1.45858,65.22,1.42
1289 /thepages/5c16782267556a1a2d745313,200,9697,11985,12565,12595,13139,2652,13740,0.000%,1.48082,66.20,1.44
1337 /thepages/5c167a4a67556a1a2d745315,200,9067,11579,12737,13033,13068,549,13072,0.000%,1.64112,73.37,1.60
1217 /pagelist,200,27772,34957,37130,37643,37864,9957,37880,0.000%,1.40232,188.10,4.10
TOTAL,4200,18180,10200,35100,54052,176067,98,182933,3.333%,16.64111,10055.14,28.46
