Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
913 /,400,53334,98,182933,66924.84,28.500%,2.17595,581.48,3.44,273645.6
941 /viewbook,200,15624,536,138495,23333.16,3.000%,1.17209,243.61,0.90,212827.2
965 /pagelist,200,11408,2606,130847,21301.03,3.500%,1.11992,253.47,1.03,231759.8
989 /createpage,200,9252,2146,107358,15469.11,1.500%,1.10774,43.47,1.04,40183.1
1013 /savepage,400,31624,7424,163228,21231.11,2.000%,1.92864,926.95,7.70,492160.2
1039 /thepages/5c1674cb67556a1a2d745311,200,10038,2889,129515,8820.59,0.500%,1.09784,42.94,1.07,40056.3
1063 /pagerank,200,9138,3257,129456,8813.66,0.500%,1.11841,126.19,1.09,115540.9
1087 /mongorank,200,7878,2679,11996,2588.85,0.000%,1.17074,228.36,1.12,199741.1
1111 /login,200,7167,2319,12046,2589.14,0.000%,1.21054,42.49,1.15,35940.7
1125 /login,400,19149,6037,46066,9548.82,0.000%,2.33522,2817.97,7.09,1235685.7
1127 /home,200,5950,2066,23992,3359.77,0.000%,1.32220,58.45,1.25,45268.0
1144 /books,200,8104,2630,13963,3591.23,0.000%,1.37675,3100.86,1.30,2306367.0
1162 /books,400,16735,6087,72527,9134.85,0.000%,2.65430,7112.82,5.94,2744051.6
1241 /thepages/5c1674b467556a1a2d745310,200,9007,2307,13613,3482.03,0.000%,1.45858,65.22,1.42,45790.4
1289 /thepages/5c16782267556a1a2d745313,200,9697,2652,13740,3209.68,0.000%,1.48082,66.20,1.44,45780.3
1337 /thepages/5c167a4a67556a1a2d745315,200,9067,549,13072,3744.61,0.000%,1.64112,73.37,1.60,45780.7
1217 /pagelist,200,27772,9957,37880,9723.72,0.000%,1.40232,188.10,4.10,137351.4
TOTAL,4200,18180,98,182933,27341.94,3.333%,16.64111,10055.14,28.46,618736.8
