Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
137 /login,600,67689,13,192382,69558.85,25.333%,3.10049,79.75,0.83,26340.2
151 /login,600,29462,141,195188,31566.23,27.667%,3.03346,780.79,8.52,263569.6
153 /home,300,6703,119,72088,9315.10,0.000%,1.53640,67.96,1.74,45297.0
171 /books,300,5665,984,34872,3772.82,0.000%,1.55866,579.56,1.87,380755.4
189 /books,600,26477,1223,98682,26585.24,0.000%,3.21580,2321.54,7.20,739243.4
TOTAL,2400,32453,13,195188,46283.59,13.250%,12.01538,3643.86,19.47,310544.8
